predicted_mean,"lower Total TL: Contract Rate (exc. FSC, SA)","upper Total TL: Contract Rate (exc. FSC, SA)"
144.84036317084747,141.45481465357838,148.22591168811655
141.03967875363878,137.6541302363697,144.42522727090787
138.64160836246072,135.25605984519163,142.0271568797298
138.25340077822096,134.86785226095188,141.63894929549005
139.87965870433754,136.49411018706846,143.26520722160663
140.97077801378612,137.58522949651703,144.3563265310552
142.3375858182239,138.95203730095483,145.723134335493
144.6580007412603,141.27245222399122,148.0435492585294
147.78029581704251,144.39474729977343,151.1658443343116
150.5505094915612,147.16496097429211,153.9360580088303
153.29027984173794,149.90473132446886,156.67582835900703
