,predicted_mean,"lower Total TL: Contract Rate (exc. FSC, SA)","upper Total TL: Contract Rate (exc. FSC, SA)"
2008-01-01,45.503954621990275,-1914.4644714332935,2005.472380677274
2008-04-01,101.77388843927379,97.60130979520878,105.9464670833388
2008-07-01,100.31756140408717,96.93201288681456,103.70310992135978
2008-10-01,100.2272833080789,96.84173479080981,103.61283182534798
2009-01-01,98.43083326123472,95.04528474396564,101.81638177850381
2009-04-01,95.88546540282485,92.49991688555576,99.27101392009394
2009-07-01,96.5977918880973,93.21224337082822,99.98334040536639
2009-10-01,96.14894942967189,92.7634009124028,99.53449794694097
2010-01-01,97.29030525247458,93.9047567352055,100.67585376974367
2010-04-01,96.31189524307433,92.92634672580525,99.69744376034342
2010-07-01,98.29532396351395,94.90977544624486,101.68087248078304
2010-10-01,99.90120957336309,96.515661056094,103.28675809063218
2011-01-01,101.3350975005949,97.94954898332581,104.72064601786398
2011-04-01,100.94370428214727,97.55815576487818,104.32925279941635
2011-07-01,103.52311084112392,100.13756232385484,106.90865935839301
2011-10-01,105.34965237858701,101.96410386131792,108.7352008958561
2012-01-01,106.58094974094085,103.19540122367177,109.96649825820994
2012-04-01,104.70493353014318,101.3193850128741,108.09048204741227
2012-07-01,106.18427841307161,102.79872989580252,109.5698269303407
2012-10-01,107.52601366865684,104.14046515138776,110.91156218592593
2013-01-01,108.05247788802201,104.66692937075292,111.4380264052911
2013-04-01,103.88447289618193,100.49892437891285,107.27002141345102
2013-07-01,106.06658053096984,102.68103201370076,109.45212904823893
2013-10-01,106.71861883629416,103.33307031902507,110.10416735356324
2014-01-01,110.27716748550702,106.89161896823794,113.66271600277611
2014-04-01,110.04002402537117,106.65447550810208,113.42557254264025
2014-07-01,109.58015087601322,106.19460235874413,112.9656993932823
2014-10-01,113.33861581507107,109.95306729780198,116.72416433234015
2015-01-01,112.83579479849736,109.45024628122827,116.22134331576645
2015-04-01,114.87918153517805,111.49363301790896,118.26473005244713
2015-07-01,112.75979020578589,109.3742416885168,116.14533872305498
2015-10-01,115.25173969551889,111.8661911782498,118.63728821278798
2016-01-01,115.7120114177099,112.32646290044082,119.09755993497899
2016-04-01,116.77700333412002,113.39145481685094,120.16255185138911
2016-07-01,111.7731941477845,108.38764563051541,115.15874266505358
2016-10-01,112.86024949380513,109.47470097653604,116.24579801107421
2017-01-01,115.55582245151612,112.17027393424704,118.94137096878521
2017-04-01,112.5226803412495,109.13713182398041,115.90822885851858
2017-07-01,113.76355773761648,110.3780092203474,117.14910625488557
2017-10-01,118.37510541240678,114.9895568951377,121.76065392967587
2018-01-01,122.7026326520502,119.31708413478111,126.08818116931928
2018-04-01,125.08755329429528,121.70200477702619,128.47310181156436
2018-07-01,127.29707531149029,123.9115267942212,130.68262382875938
2018-10-01,131.5025965687971,128.117048051528,134.88814508606617
2019-01-01,129.05389053269903,125.66834201542994,132.43943904996812
2019-04-01,128.40120414075628,125.01565562348719,131.78675265802536
2019-07-01,124.35540522952564,120.96985671225656,127.74095374679473
2019-10-01,125.04147245111062,121.65592393384154,128.4270209683797
2020-01-01,124.36570547135256,120.98015695408347,127.75125398862164
2020-04-01,120.4419871666374,117.05643864936832,123.82753568390649
2020-07-01,124.07348163943956,120.68793312217048,127.45903015670865
2020-10-01,129.32063608729942,125.93508757003033,132.7061846045685
2021-01-01,135.70699082072971,132.32144230346063,139.0925393379988
2021-04-01,137.77631964650007,134.39077112923098,141.16186816376916
2021-07-01,142.01746266253645,138.63191414526736,145.40301117980553
2021-10-01,148.56784144997738,145.1822929327083,151.95338996724647
2022-01-01,154.25123122901246,150.86568271174337,157.63677974628155
2022-04-01,162.10576928503193,158.72022076776284,165.491317802301
2022-07-01,152.36955174761758,148.9840032303485,155.75510026488666
2022-10-01,150.14293728030344,146.75738876303436,153.52848579757253
2023-01-01,143.99041826308854,140.60486974581946,147.37596678035763
2023-04-01,144.84036317084747,141.45481465357838,148.22591168811655
2023-07-01,141.03967875363878,137.6541302363697,144.42522727090787
2023-10-01,138.64160836246072,135.25605984519163,142.0271568797298
2024-01-01,138.25340077822096,134.86785226095188,141.63894929549005
2024-04-01,139.87965870433754,136.49411018706846,143.26520722160663
2024-07-01,140.97077801378612,137.58522949651703,144.3563265310552
2024-10-01,142.3375858182239,138.95203730095483,145.723134335493
2025-01-01,144.6580007412603,141.27245222399122,148.0435492585294
2025-04-01,147.78029581704251,144.39474729977343,151.1658443343116
2025-07-01,150.5505094915612,147.16496097429211,153.9360580088303
2025-10-01,153.29027984173794,149.90473132446886,156.67582835900703
